le --- IMG_3557.JPG, renamed to IMG_3557__1.JPG
MINOR: found duplicate file --- IMG_1329.HEIC.json, renamed to IMG_1329__1.HEIC.json
MINOR: found duplicate file --- IMG_1280.MOV, renamed to IMG_1280__1.MOV
MINOR: found duplicate file --- IMG_1308.HEIC.json, renamed to IMG_1308__1.HEIC.json
MINOR: found duplicate file --- IMG_1413.JPG, renamed to IMG_1413__1.JPG
MINOR: found duplicate file --- IMG_1349.JPG, renamed to IMG_1349__1.JPG
MINOR: found duplicate file --- IMG_1330.HEIC.json, renamed to IMG_1330__1.HEIC.json
MINOR: found duplicate file --- IMG_1282.MOV, renamed to IMG_1282__1.MOV
MINOR: found duplicate file --- IMG_1297.MOV, renamed to IMG_1297__1.MOV
MINOR: found duplicate file --- IMG_1317.MOV.json, renamed to IMG_1317__1.MOV.json
MINOR: found duplicate file --- IMG_1316.MOV.json, renamed to IMG_1316__1.MOV.json
MINOR: found duplicate file --- IMG_1311.HEIC.json, renamed to IMG_1311__1.HEIC.json
MINOR: found duplicate file --- IMG_1310.HEIC, renamed to IMG_1310__1.HEIC
MINOR: found duplicate file --- IMG_1324.MOV, renamed to IMG_1324__1.MOV
MINOR: found duplicate file --- IMG_1311.HEIC, renamed to IMG_1311__1.HEIC
MINOR: found duplicate file --- IMG_1307.HEIC, renamed to IMG_1307__1.HEIC
MINOR: found duplicate file --- IMG_1287.MOV, renamed to IMG_1287__1.MOV
MINOR: found duplicate file --- IMG_1293.MOV, renamed to IMG_1293__1.MOV
MINOR: found duplicate file --- IMG_1403.JPG, renamed to IMG_1403__1.JPG
MINOR: found duplicate file --- IMG_1331.HEIC, renamed to IMG_1331__1.HEIC
MINOR: found duplicate file --- IMG_1274.HEIC, renamed to IMG_1274__1.HEIC
MINOR: found duplicate file --- IMG_2839.JPG, renamed to IMG_2839__1.JPG
MINOR: found duplicate file --- IMG_1382.HEIC, renamed to IMG_1382__1.HEIC
MINOR: found duplicate file --- IMG_1286.HEIC, renamed to IMG_1286__1.HEIC
MINOR: found duplicate file --- IMG_1297.MOV.json, renamed to IMG_1297__1.MOV.json
MINOR: found duplicate file --- IMG_1309.HEIC.json, renamed to IMG_1309__1.HEIC.json
MINOR: found duplicate file --- IMG_1349.JPG.json, renamed to IMG_1349__1.JPG.json
MINOR: found duplicate file --- IMG_1348.JPG.json, renamed to IMG_1348__1.JPG.json
MINOR: found duplicate file --- IMG_1331.HEIC.json, renamed to IMG_1331__1.HEIC.json
MINOR: found duplicate file --- IMG_1545.MOV, renamed to IMG_1545__1.MOV
MINOR: found duplicate file --- IMG_1310.HEIC.json, renamed to IMG_1310__1.HEIC.json
MINOR: found duplicate file --- IMG_1306.MOV.json, renamed to IMG_1306__1.MOV.json
MINOR: found duplicate file --- IMG_1324.MOV.json, renamed to IMG_1324__1.MOV.json
MINOR: found duplicate file --- IMG_1337.HEIC, renamed to IMG_1337__1.HEIC
MINOR: found duplicate file --- IMG_1337.HEIC.json, renamed to IMG_1337__1.HEIC.json
MINOR: found duplicate file --- IMG_8861.HEIC, renamed to IMG_8861__1.HEIC
MINOR: found duplicate file --- IMG_9289.HEIC, renamed to IMG_9289__1.HEIC
MINOR: found duplicate file --- IMG_8608.MOV, renamed to IMG_8608__1.MOV
MINOR: found duplicate file --- IMG_0208.MOV.json, renamed to IMG_0208__2.MOV.json
MINOR: found duplicate file --- IMG_9310.MOV, renamed to IMG_9310__1.MOV
MINOR: found duplicate file --- IMG_0174.JPG, renamed to IMG_0174__1.JPG
MINOR: found duplicate file --- IMG_8682.MP4, renamed to IMG_8682__1.MP4
MINOR: found duplicate file --- IMG_0246.HEIC, renamed to IMG_0246__1.HEIC
MINOR: found duplicate file --- IMG_0205.HEIC.json, renamed to IMG_0205__1.HEIC.json
MINOR: found duplicate file --- IMG_9460.HEIC, renamed to IMG_9460__2.HEIC
MINOR: found duplicate file --- IMG_0207.HEIC, renamed to IMG_0207__1.HEIC
MINOR: found duplicate file --- IMG_9476.HEIC, renamed to IMG_9476__2.HEIC
MINOR: found duplicate file --- IMG_9533.HEIC, renamed to IMG_9533__1.HEIC
MINOR: found duplicate file --- IMG_8772.HEIC, renamed to IMG_8772__1.HEIC
MINOR: found duplicate file --- IMG_9729.MOV, renamed to IMG_9729__1.MOV
MINOR: found duplicate file --- IMG_9421.HEIC, renamed to IMG_9421__1.HEIC
MINOR: found duplicate file --- IMG_9071.HEIC, renamed to IMG_9071__1.HEIC
MINOR: found duplicate file --- IMG_9958.JPG, renamed to IMG_9958__1.JPG
MINOR: found duplicate file --- IMG_9456.HEIC, renamed to IMG_9456__2.HEIC
MINOR: found duplicate file --- IMG_9552.HEIC, renamed to IMG_9552__1.HEIC
MINOR: found duplicate file --- IMG_9801.HEIC, renamed to IMG_9801__1.HEIC
MINOR: found duplicate file --- recordFileName0(45).mp4, renamed to recordFileName0(45)__1.mp4
MINOR: found duplicate file --- IMG_8729.PNG, renamed to IMG_8729__1.PNG
MINOR: found duplicate file --- IMG_0121.MOV, renamed to IMG_0121__1.MOV
MINOR: found duplicate file --- IMG_8858.MP4, renamed to IMG_8858__1.MP4
MINOR: found duplicate file --- IMG_8859.MP4, renamed to IMG_8859__1.MP4
MINOR: found duplicate file --- IMG_9591.HEIC, renamed to IMG_9591__1.HEIC
MINOR: found duplicate file --- IMG_9483.HEIC, renamed to IMG_9483__1.HEIC
MINOR: found duplicate file --- IMG_0062.JPG.json, renamed to IMG_0062__1.JPG.json
MINOR: found duplicate file --- IMG_8857.HEIC, renamed to IMG_8857__1.HEIC
MINOR: found duplicate file --- IMG_9495.HEIC, renamed to IMG_9495__2.HEIC
MINOR: found duplicate file --- IMG_8841.HEIC, renamed to IMG_8841__1.HEIC
MINOR: found duplicate file --- recordFileName0(90).mp4, renamed to recordFileName0(90)__1.mp4
MINOR: found duplicate file --- IMG_9641.HEIC, renamed to IMG_9641__1.HEIC
MINOR: found duplicate file --- IMG_9060.MOV, renamed to IMG_9060__1.MOV
MINOR: found duplicate file --- IMG_9569.HEIC, renamed to IMG_9569__1.HEIC
MINOR: found duplicate file --- IMG_9093.HEIC, renamed to IMG_9093__1.HEIC
MINOR: found duplicate file --- IMG_8682.HEIC, renamed to IMG_8682__1.HEIC
MINOR: found duplicate file --- IMG_9302.HEIC, renamed to IMG_9302__1.HEIC
MINOR: found duplicate file --- IMG_9882.HEIC, renamed to IMG_9882__1.HEIC
MINOR: found duplicate file --- IMG_9494.HEIC, renamed to IMG_9494__2.HEIC
MINOR: found duplicate file --- IMG_9028.MP4, renamed to IMG_9028__1.MP4
MINOR: found duplicate file --- IMG_8856.HEIC, renamed to IMG_8856__1.HEIC
MINOR: found duplicate file --- IMG_9894.HEIC, renamed to IMG_9894__1.HEIC
MINOR: found duplicate file --- IMG_9482.HEIC, renamed to IMG_9482__1.HEIC
MINOR: found duplicate file --- IMG_9713.HEIC, renamed to IMG_9713__1.HEIC
MINOR: found duplicate file --- IMG_9590.HEIC, renamed to IMG_9590__1.HEIC
MINOR: found duplicate file --- IMG_8861.MP4, renamed to IMG_8861__1.MP4
MINOR: found duplicate file --- IMG_0166.JPG, renamed to IMG_0166__1.JPG
MINOR: found duplicate file --- IMG_8860.MP4, renamed to IMG_8860__1.MP4
MINOR: found duplicate file --- IMG_0173.JPG, renamed to IMG_0173__1.JPG
MINOR: found duplicate file --- IMG_0230.HEIC, renamed to IMG_0230__1.HEIC
MINOR: found duplicate file --- IMG_9459.MOV, renamed to IMG_9459__1.MOV
MINOR: found duplicate file --- IMG_8712.HEIC, renamed to IMG_8712__1.HEIC
MINOR: found duplicate file --- recordFileName0(44).mp4, renamed to recordFileName0(44)__1.mp4
MINOR: found duplicate file --- IMG_9505.MOV, renamed to IMG_9505__1.MOV
MINOR: found duplicate file --- IMG_9209.JPG, renamed to IMG_9209__1.JPG
MINOR: found duplicate file --- IMG_9400.HEIC, renamed to IMG_9400__1.HEIC
MINOR: found duplicate file --- IMG_0007.JPG, renamed to IMG_0007__1.JPG
MINOR: found duplicate file --- IMG_9512.HEIC, renamed to IMG_9512__1.HEIC
MINOR: found duplicate file --- IMG_9841.HEIC, renamed to IMG_9841__1.HEIC
MINOR: found duplicate file --- IMG_0086.MOV, renamed to IMG_0086__1.MOV
MINOR: found duplicate file --- IMG_9457.HEIC, renamed to IMG_9457__2.HEIC
MINOR: found duplicate file --- IMG_0092.MOV, renamed to IMG_0092__1.MOV
MINOR: found duplicate file --- IMG_9070.HEIC, renamed to IMG_9070__1.HEIC
MINOR: found duplicate file --- IMG_0005.JPG, renamed to IMG_0005__1.JPG
MINOR: found duplicate file --- IMG_0206.HEIC, renamed to IMG_0206__1.HEIC
MINOR: found duplicate file --- IMG_9477.HEIC, renamed to IMG_9477__2.HEIC
MINOR: found duplicate file --- IMG_8773.HEIC, renamed to IMG_8773__1.HEIC
MINOR: found duplicate file --- IMG_9461.HEIC, renamed to IMG_9461__2.HEIC
MINOR: found duplicate file --- IMG_9932.HEIC, renamed to IMG_9932__1.HEIC
MINOR: found duplicate file --- IMG_0247.HEIC, renamed to IMG_0247__1.HEIC
MINOR: found duplicate file --- IMG_8679.MP4, renamed to IMG_8679__1.MP4
MINOR: found duplicate file --- IMG_9089.HEIC, renamed to IMG_9089__1.HEIC
MINOR: found duplicate file --- IMG_9828.JPG, renamed to IMG_9828__2.JPG
MINOR: found duplicate file --- IMG_0127.MOV, renamed to IMG_0127__1.MOV
MINOR: found duplicate file --- IMG_8862.MP4, renamed to IMG_8862__1.MP4
MINOR: found duplicate file --- IMG_0171.JPG, renamed to IMG_0171__1.JPG
MINOR: found duplicate file --- IMG_0170.JPG, renamed to IMG_0170__2.JPG
MINOR: found duplicate file --- IMG_8863.MP4, renamed to IMG_8863__1.MP4
MINOR: found duplicate file --- IMG_0126.MOV, renamed to IMG_0126__1.MOV
MINOR: found duplicate file --- IMG_8678.MP4, renamed to IMG_8678__1.MP4
MINOR: found duplicate file --- IMG_0142.HEIC, renamed to IMG_0142__2.HEIC
MINOR: found duplicate file --- IMG_9725.HEIC, renamed to IMG_9725__1.HEIC
MINOR: found duplicate file --- IMG_0052.MOV, renamed to IMG_0052__1.MOV
MINOR: found duplicate file --- IMG_8860.HEIC, renamed to IMG_8860__1.HEIC
MINOR: found duplicate file --- 66873163929__847AA2FF-BD7B-46B6-AEA9-791858CC9B.MOV, renamed to 66873163929__847AA2FF-BD7B-46B6-AEA9-791858CC9B__1.MOV
MINOR: found duplicate file --- IMG_9515.HEIC, renamed to IMG_9515__1.HEIC
MINOR: found duplicate file --- IMG_9450.HEIC, renamed to IMG_9450__1.HEIC
MINOR: found duplicate file --- IMG_8611.HEIC, renamed to IMG_8611__1.HEIC
MINOR: found duplicate file --- IMG_0063.JPG, renamed to IMG_0063__1.JPG
MINOR: found duplicate file --- IMG_0108.HEIC, renamed to IMG_0108__1.HEIC
MINOR: found duplicate file --- IMG_8794.MP4, renamed to IMG_8794__1.MP4
MINOR: found duplicate file --- IMG_8780.MP4, renamed to IMG_8780__1.MP4
MINOR: found duplicate file --- IMG_8680.MOV, renamed to IMG_8680__1.MOV
MINOR: found duplicate file --- IMG_9811.HEIC, renamed to IMG_9811__1.HEIC
MINOR: found duplicate file --- IMG_9554.HEIC, renamed to IMG_9554__2.HEIC
MINOR: found duplicate file --- IMG_8838.MP4, renamed to IMG_8838__1.MP4
MINOR: found duplicate file --- IMG_9597.HEIC, renamed to IMG_9597__1.HEIC
MINOR: found duplicate file --- IMG_9372.MOV, renamed to IMG_9372__1.MOV
MINOR: found duplicate file --- IMG_9485.HEIC, renamed to IMG_9485__1.HEIC
MINOR: found duplicate file --- IMG_8736.MOV, renamed to IMG_8736__1.MOV
MINOR: found duplicate file --- IMG_0170.JPG.json, renamed to IMG_0170__2.JPG.json
MINOR: found duplicate file --- IMG_0171.JPG.json, renamed to IMG_0171__1.JPG.json
MINOR: found duplicate file --- IMG_0222.MOV, renamed to IMG_0222__1.MOV
MINOR: found duplicate file --- IMG_9493.HEIC, renamed to IMG_9493__1.HEIC
MINOR: found duplicate file --- IMG_0192.MOV.json, renamed to IMG_0192__1.MOV.json
MINOR: found duplicate file --- IMG_9610.HEIC, renamed to IMG_9610__1.HEIC
MINOR: found duplicate file --- IMG_0193.MOV.json, renamed to IMG_0193__1.MOV.json
MINOR: found duplicate file --- IMG_9978.HEIC, renamed to IMG_9978__1.HEIC
MINOR: found duplicate file --- IMG_0062.JPG, renamed to IMG_0062__1.JPG
MINOR: found duplicate file --- IMG_9094.HEIC, renamed to IMG_9094__1.HEIC
MINOR: found duplicate file --- IMG_0104.HEIC, renamed to IMG_0104__1.HEIC
MINOR: found duplicate file --- IMG_9953.MOV, renamed to IMG_9953__1.MOV
MINOR: found duplicate file --- IMG_9775.HEIC, renamed to IMG_9775__1.HEIC
MINOR: found duplicate file --- IMG_8740.MP4, renamed to IMG_8740__1.MP4
MINOR: found duplicate file --- IMG_0060.JPG, renamed to IMG_0060__1.JPG
MINOR: found duplicate file --- IMG_9519.HEIC, renamed to IMG_9519__1.HEIC
MINOR: found duplicate file --- IMG_0048.JPG, renamed to IMG_0048__2.JPG
MINOR: found duplicate file --- IMG_8683.MOV, renamed to IMG_8683__1.MOV
MINOR: found duplicate file --- IMG_0208.MOV, renamed to IMG_0208__2.MOV
MINOR: found duplicate file --- IMG_9796.MOV.json, renamed to IMG_9796__1.MOV.json
MINOR: found duplicate file --- IMG_8934.HEIC, renamed to IMG_8934__1.HEIC
MINOR: found duplicate file --- IMG_9628.MOV, renamed to IMG_9628__1.MOV
MINOR: found duplicate file --- IMG_8807.MP4, renamed to IMG_8807__1.MP4
MINOR: found duplicate file --- IMG_9431.HEIC, renamed to IMG_9431__1.HEIC
MINOR: found duplicate file --- IMG_0240.HEIC, renamed to IMG_0240__2.HEIC
MINOR: found duplicate file --- IMG_9858.JPG, renamed to IMG_9858__1.JPG
MINOR: found duplicate file --- IMG_9371.MOV, renamed to IMG_9371__1.MOV
MINOR: found duplicate file --- IMG_8735.MOV, renamed to IMG_8735__1.MOV
MINOR: found duplicate file --- IMG_9935.HEIC, renamed to IMG_9935__1.HEIC
MINOR: found duplicate file --- IMG_9466.HEIC, renamed to IMG_9466__2.HEIC
MINOR: found duplicate file --- IMG_8899.MOV, renamed to IMG_8899__1.MOV
MINOR: found duplicate file --- IMG_0209.MOV, renamed to IMG_0209__1.MOV
MINOR: found duplicate file --- IMG_9470.HEIC, renamed to IMG_9470__2.HEIC
MINOR: found duplicate file --- IMG_0049.JPG, renamed to IMG_0049__2.JPG
MINOR: found duplicate file --- IMG_0061.JPG, renamed to IMG_0061__1.JPG
MINOR: found duplicate file --- IMG_0256.HEIC, renamed to IMG_0256__1.HEIC
MINOR: found duplicate file --- IMG_8741.MP4, renamed to IMG_8741__1.MP4
MINOR: found duplicate file --- IMG_9077.HEIC, renamed to IMG_9077__1.HEIC
MINOR: found duplicate file --- IMG_9952.MOV, renamed to IMG_9952__1.MOV
MINOR: found duplicate file --- IMG_9900.JPG, renamed to IMG_9900__1.JPG
MINOR: found duplicate file --- IMG_9426.HEIC, renamed to IMG_9426__1.HEIC
MINOR: found duplicate file --- IMG_8779.MP4, renamed to IMG_8779__1.MP4
MINOR: found duplicate file --- IMG_8792.MP4, renamed to IMG_8792__1.MP4
MINOR: found duplicate file --- IMG_8976.MP4, renamed to IMG_8976__1.MP4
MINOR: found duplicate file --- IMG_9471.HEIC, renamed to IMG_9471__2.HEIC
MINOR: found duplicate file --- IMG_9758.HEIC, renamed to IMG_9758__1.HEIC
MINOR: found duplicate file --- IMG_9467.HEIC, renamed to IMG_9467__2.HEIC
MINOR: found duplicate file --- IMG_9488.HEIC, renamed to IMG_9488__1.HEIC
MINOR: found duplicate file --- IMG_0108.HEIC.json, renamed to IMG_0108__1.HEIC.json
MINOR: found duplicate file --- IMG_0241.HEIC, renamed to IMG_0241__2.HEIC
MINOR: found duplicate file --- IMG_9575.HEIC, renamed to IMG_9575__1.HEIC
MINOR: found duplicate file --- IMG_0147.MOV, renamed to IMG_0147__1.MOV
MINOR: found duplicate file --- IMG_8803.MP4, renamed to IMG_8803__1.MP4
MINOR: found duplicate file --- IMG_0146.MOV, renamed to IMG_0146__1.MOV
MINOR: found duplicate file --- IMG_9332.HEIC, renamed to IMG_9332__1.HEIC
MINOR: found duplicate file --- IMG_9723.HEIC, renamed to IMG_9723__1.HEIC
MINOR: found duplicate file --- IMG_8974.HEIC, renamed to IMG_8974__1.HEIC
MINOR: found duplicate file --- IMG_9666.HEIC, renamed to IMG_9666__1.HEIC
MINOR: found duplicate file --- IMG_8977.MP4, renamed to IMG_8977__1.MP4
MINOR: found duplicate file --- IMG_9518.HEIC, renamed to IMG_9518__1.HEIC
MINOR: found duplicate file --- IMG_8793.MP4, renamed to IMG_8793__1.MP4
MINOR: found duplicate file --- IMG_0105.HEIC, renamed to IMG_0105__1.HEIC
MINOR: found duplicate file --- IMG_9774.HEIC, renamed to IMG_9774__1.HEIC
MINOR: found duplicate file --- IMG_9261.HEIC, renamed to IMG_9261__1.HEIC
MINOR: found duplicate file --- IMG_0040.HEIC, renamed to IMG_0040__1.HEIC
MINOR: found duplicate file --- IMG_9801.HEIC.json, renamed to IMG_9801__1.HEIC.json
MINOR: found duplicate file --- IMG_8954.HEIC, renamed to IMG_8954__1.HEIC
MINOR: found duplicate file --- IMG_0232.MOV, renamed to IMG_0232__1.MOV
MINOR: found duplicate file --- IMG_8779.HEIC, renamed to IMG_8779__1.HEIC
MINOR: found duplicate file --- IMG_9938.HEIC, renamed to IMG_9938__1.HEIC
MINOR: found duplicate file --- IMG_8780.HEIC, renamed to IMG_8780__1.HEIC
MINOR: found duplicate file --- IMG_9484.HEIC, renamed to IMG_9484__1.HEIC
MINOR: found duplicate file --- IMG_0193.MOV, renamed to IMG_0193__1.MOV
MINOR: found duplicate file --- IMG_8807.HEIC, renamed to IMG_8807__1.HEIC
MINOR: found duplicate file --- IMG_0105.HEIC.json, renamed to IMG_0105__1.HEIC.json
MINOR: found duplicate file --- IMG_0145.MOV, renamed to IMG_0145__1.MOV
MINOR: found duplicate file --- IMG_9834.MOV, renamed to IMG_9834__1.MOV
MINOR: found duplicate file --- IMG_0192.MOV, renamed to IMG_0192__1.MOV
MINOR: found duplicate file --- IMG_8727.MOV, renamed to IMG_8727__1.MOV
MINOR: found duplicate file --- IMG_9555.HEIC, renamed to IMG_9555__1.HEIC
MINOR: found duplicate file --- IMG_8900.MOV, renamed to IMG_8900__1.MOV
MINOR: found duplicate file --- IMG_9685.HEIC, renamed to IMG_9685__1.HEIC
